chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT06705465. Study Title: Cross-sectorial Rehabilitation of Patients with Lung Cancer. Sponsor: Camilla Balle. Condition or Disease: Lung Cancer Non-Small Cell Cancer (NSCLC). Intervention or Drug or Treatment: BEHAVIORAL: video conference. Phase: . Study Status: RECRUITING. Enrollment: 130.0. Summary: Four thousand seven hundred patients are diagnosed with lung cancer in Denmark every year. Even though cigarette smoking has declined for decades a decline in lung cancer incidence is still at least a decade away. Only 16% of these patients with lung cancer started in a municipal rehabilitation program.
Aim: To investigate if the intervention ""early contact conference"" can facilitate acceptance of and participation in municipal rehabilitation in patients with lung cancer. Further, to investigate whether the rehabilitation improve the patients' physical ability and quality of life.
Thirteen municipalities from Region Hovedstaden have agreed to participate in this cluster randomized controlled trial. The intervention will focus on creating early contact between the Department of Oncology and the municipalities. The conference call will be planned when the patient is at the hospital for the second systemic treatment and a written status will be sent to the GP after the conference video call so that hospital, municipality, and GP will all have the newest knowledge about the patient's general condition
The intervention will be easy to implement in clinical practice afterwards if it is a success and the cost of the intervention is low.. ",NCT06705465,Lung Cancer Non-Small Cell Cancer (NSCLC),,RECRUITING,130.0,Camilla Balle,BEHAVIORAL: video conference,2024,2027
"NCT Number: NCT04396457. Study Title: Pembrolizumab Plus Pemetrexed for Elderly Patients With Non-Sq NSCLC With PD-L1 < 50%: CJLSG1901. Sponsor: National Hospital Organization Nagoya Medical Center. Condition or Disease: Non-squamous Non-small-cell Lung Cancer|Cancer, Lung. Intervention or Drug or Treatment: DRUG: Pembrolizumab|DRUG: Pemetrexed. Phase: PHASE2. Study Status: UNKNOWN. Enrollment: 50.0. Summary: To evaluate the efficacy and safety of Pembrolizumab + Pemetrexed in elderly patients with non-squamous non-small cell lung cancer with Programmed cell death (PD) -ligand1 (L1) tumor proportion score (TPS) of less than 50%.. ",NCT04396457,"Non-squamous Non-small-cell Lung Cancer|Cancer, Lung",PHASE2,UNKNOWN,50.0,National Hospital Organization Nagoya Medical Center,DRUG: Pembrolizumab|DRUG: Pemetrexed,2020,2024
"NCT Number: NCT02811354. Study Title: Phase II Study of AZD9291 in Advanced Stage NSCLC With EGFR and T790M Mutations Detected in Plasma Ct-DNA. Sponsor: National University Hospital, Singapore. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: AZD9291. Phase: PHASE2. Study Status: UNKNOWN. Enrollment: 108.0. Summary: Circulating tumor DNA (ctDNA) is a highly specific and effective biomarker for the detection of EGFR mutation status. We hypothesise AZD9291 is efficacious in patients with EGFR sensitizing mutations and T790M detected in plasma ctDNA.
This is a prospective, open label, multi-centre single arm phase II study assessing the efficacy and safety of AZD9291 monotherapy in patients with stage IIIB or IV harboring sensitising EGFR mutation (exon 19 deletions or exon 21 L858R substitution mutations) and T790M who have progressed following prior treatment with an approved EGFR TKI. Approximately 106 subjects will be enrolled.
All patients must have documented radiological progression on EGFR-TKI treatment and on the last treatment administered prior to enrolling in the study.. ",NCT02811354,"Carcinoma, Non-Small-Cell Lung",PHASE2,UNKNOWN,108.0,"National University Hospital, Singapore",DRUG: AZD9291,2017,2020
"NCT Number: NCT02566421. Study Title: Genomic Sequencing in Determining Treatment in Patients With Metastatic Cancer or Cancer That Cannot Be Removed by Surgery. Sponsor: Wake Forest University Health Sciences. Condition or Disease: Metastatic Neoplasm|Recurrent Neoplasm|Recurrent Non-Small Cell Lung Carcinoma|Stage IIIA Non-Small Cell Lung Cancer|Stage IIIB Non-Small Cell Lung Cancer|Stage IV Non-Small Cell Lung Cancer|Unresectable Malignant Neoplasm. Intervention or Drug or Treatment: OTHER: Laboratory Biomarker Analysis|OTHER: Quality-of-Life Assessment|OTHER: Targeted Therapy. Phase: . Study Status: TERMINATED. Enrollment: 110.0. Summary: This pilot clinical trial studies patients' genomic sequencing in determining specific treatments, also called Precision Medicine, in patients with cancer that has spread to other parts of the body (metastatic) and/or cannot be removed by surgery. Examining the genetic code of a patient's tumor, a mutation (a change in the deoxyribonucleic acid \[DNA\] sequence of a cell or gene) may be identified and matched with available treatment that targets the mutated gene or an alternative treatment that may provide benefit for the patient with the mutation identified. Precision medicine may impacts patient's response to treatment by targeting specific mutations and may increase survival and improve quality of life.. ",NCT02566421,Metastatic Neoplasm|Recurrent Neoplasm|Recurrent Non-Small Cell Lung Carcinoma|Stage IIIA Non-Small Cell Lung Cancer|Stage IIIB Non-Small Cell Lung Cancer|Stage IV Non-Small Cell Lung Cancer|Unresectable Malignant Neoplasm,,TERMINATED,110.0,Wake Forest University Health Sciences,OTHER: Laboratory Biomarker Analysis|OTHER: Quality-of-Life Assessment|OTHER: Targeted Therapy,2015,2017
"NCT Number: NCT03383302. Study Title: SBRT With Immunotherapy in Early Stage Non-small Cell Lung Cancer: Tolerability and Lung Effects. Sponsor: Royal Marsden NHS Foundation Trust. Condition or Disease: Non-small Cell Lung Cancer Stage II|Non-small Cell Lung Cancer Stage I. Intervention or Drug or Treatment: RADIATION: Stereotactic body radiotherapy|DRUG: Nivolumab. Phase: PHASE1|PHASE2. Study Status: COMPLETED. Enrollment: 29.0. Summary: This is a single arm, multi-centre, phase II open label study of nivolumab with stereotactic body radiotherapy (SBRT) for early stage non-small cell lung cancer. SBRT will be delivered in either 3 or 5 fractions for peripheral disease or 8 fractions in central disease. A flat dose of 240 mg nivolumab infusion will begin after the final fraction of SBRT, within 24 hours and typically on the same day. Nivolumab will subsequently be given every 2 weeks at a flat dose of 240 mg for a further 13 cycles followed by Nivolumab 480mg Q4W for 7 cycles until 20 cycles in total are complete, unless any study drug discontinuation criteria are met. Treatment (20 cycles) will take a minimum of 1 year to complete but may exceed this timeframe if treatment delays are encountered. (Patients who have enrolled on Nivolumab Q2W 240mg regimen for 26 cycles and are beyond cycle 14 will receive 26 cycles Q2W in total to complete treatment). Assessment of toxicities will be performed at each clinic visit during treatment, at 30 days after the final nivolumab infusion and until 100 days after the final nivolumab infusion. Changes in spirometry",NCT03383302,Non-small Cell Lung Cancer Stage II|Non-small Cell Lung Cancer Stage I,PHASE1|PHASE2,COMPLETED,29.0,Royal Marsden NHS Foundation Trust,RADIATION: Stereotactic body radiotherapy|DRUG: Nivolumab,2018,2025
"toxicities will be performed at each clinic visit during treatment, at 30 days after the final nivolumab infusion and until 100 days after the final nivolumab infusion. Changes in spirometry values and PFTs will be assessed throughout the trial. Relapse rates will be assessed with staging CT scans at 3, 6, 12, 18 and 24 months post SBRT. An exploratory assessment will be made of the effect pre-treatment pulmonary function tests (PFTs) have on outcome measures..",NCT03383302,Non-small Cell Lung Cancer Stage II|Non-small Cell Lung Cancer Stage I,PHASE1|PHASE2,COMPLETED,29.0,Royal Marsden NHS Foundation Trust,RADIATION: Stereotactic body radiotherapy|DRUG: Nivolumab,2018,2025
"NCT Number: NCT00040768. Study Title: Bortezomib in Treating Patients With Advanced Non-small Cell Lung Cancer. Sponsor: National Cancer Institute (NCI). Condition or Disease: Recurrent Non-small Cell Lung Cancer|Stage IIIB Non-small Cell Lung Cancer|Stage IV Non-small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: bortezomib. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 35.0. Summary: Phase II trial to study the effectiveness of bortezomib in treating patients who have stage IIIB, stage IV, or recurrent non-small cell lung cancer. Bortezomib may interfere with the growth of tumor cells by blocking certain enzymes necessary for tumor cell growth. ",NCT00040768,Recurrent Non-small Cell Lung Cancer|Stage IIIB Non-small Cell Lung Cancer|Stage IV Non-small Cell Lung Cancer,PHASE2,TERMINATED,35.0,National Cancer Institute (NCI),DRUG: bortezomib,2002,
"NCT Number: NCT00603538. Study Title: Study of CP-751,871 in Combination With Carboplatin and Paclitaxel in Advanced Lung Cancer. Sponsor: Pfizer. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: CP-751,871 + carboplatin + paclitaxel. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 19.0. Summary: Investigate safety, tolerability and pharmacokinetics of CP-751,871 when given in combination with carboplatin and paclitaxel in patients with advanced non-small cell lung cancer. ",NCT00603538,"Carcinoma, Non-Small-Cell Lung",PHASE1,COMPLETED,19.0,Pfizer,"DRUG: CP-751,871 + carboplatin + paclitaxel",2008,2009
"NCT Number: NCT06008730. Study Title: Proton Beam Radiation Therapy After Treatment for Resected N2 Non-Small Cell Lung Cancer. Sponsor: Emory University. Condition or Disease: Resectable Lung Non-Small Cell Carcinoma. Intervention or Drug or Treatment: PROCEDURE: Biospecimen Collection|RADIATION: Proton Beam Radiation Therapy|OTHER: Radiology, Treatment Planning. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 20.0. Summary: This clinical trial tests proton beam radiation therapy in patients with non-small cell lung cancer who have undergone surgical resection and have lymph nodes involving the middle of the chest. Proton therapy is a type of radiation treatment that kills cancer cells while avoiding surrounding healthy tissue. Proton beam therapy is sometimes used after cancer surgery to reduce the risk of cancer recurrence (coming back). Giving proton beam radiation therapy may work better than conventional radiation treatment after surgery in patients with non-small cell lung cancer.. ",NCT06008730,Resectable Lung Non-Small Cell Carcinoma,PHASE2,RECRUITING,20.0,Emory University,"PROCEDURE: Biospecimen Collection|RADIATION: Proton Beam Radiation Therapy|OTHER: Radiology, Treatment Planning",2024,2027
"NCT Number: NCT00819728. Study Title: Trial of Weekly Taxotere and Irinotecan (CPT-11) in Patients With Advanced Non-small Cell Lung Cancer. Sponsor: Sanofi. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: Docetaxel|DRUG: Irinotecan. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 35.0. Summary: The main purpose of the study is to determine the activity of the weekly combination of docetaxel (Taxotere) and irinotecan in terms of response rate in subjects with advanced, previously untreated, non-small cell lung cancer. It is also to determine the activity of this combination in terms of response duration, time to progression, median survival, overall survival, and percent one-year survival, as well as the side-effect and toxicity profile of weekly Taxotere and weekly irinotecan.. ",NCT00819728,"Carcinoma, Non-Small-Cell Lung",PHASE2,COMPLETED,35.0,Sanofi,DRUG: Docetaxel|DRUG: Irinotecan,2000,2003
"NCT Number: NCT01134016. Study Title: Determine MTD and to Evaluate pk, Safety/Tolerability and Efficacy Profiles of Hocena® in NSCLC Subjects. Sponsor: Golden Biotechnology Corporation. Condition or Disease: Non-small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: Antroquinonol. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 13.0. Summary: A phase I study to determine the maximum tolerable dose (MTD) and to evaluate pharmacokinetic, safety/tolerability and efficacy profiles of antroquinonol (Hocena®) in non-small cell lung cancer (NSCLC) subjects refractory to conventional treatment modalities. ",NCT01134016,Non-small Cell Lung Cancer,PHASE1,COMPLETED,13.0,Golden Biotechnology Corporation,DRUG: Antroquinonol,2010,2013
"NCT Number: NCT05487391. Study Title: A Study of QL1706 Combined With Platinum-containing Chemotherapy in Adjuvant Treatment of Stage II-IIIB Non-small Cell Lung Cancer After Complete Surgical Resection.. Sponsor: Qilu Pharmaceutical Co., Ltd.. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: QL1706 injection|DRUG: Vinorelbine Tartrate|DRUG: Paclitaxel|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Placebo. Phase: PHASE3. Study Status: RECRUITING. Enrollment: 632.0. Summary: The purpose of this study is to evaluate the efficacy and safety of QL1706 combined with platinum-based chemotherapy versus placebo combined with platinum-based chemotherapy in adjuvant treatment of stage II-IIIB NSCLC without EGFR-sensitizing mutations and ALK fusions after complete surgical resection.The subjects were randomly divided into two groups according to 1:1, with about 316 subjects in the experimental group and the control group.. ",NCT05487391,"Carcinoma, Non-Small-Cell Lung",PHASE3,RECRUITING,632.0,"Qilu Pharmaceutical Co., Ltd.",DRUG: QL1706 injection|DRUG: Vinorelbine Tartrate|DRUG: Paclitaxel|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Placebo,2022,2029
"NCT Number: NCT00050336. Study Title: Study of Lonafarnib in Combination With Paclitaxel and Carboplatin in Patients With Non-Small Cell Lung Cancer (Study P01901)(TERMINATED). Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: Carcinoma, Non-small-cell Lung|Metastases, Neoplasm. Intervention or Drug or Treatment: DRUG: Lonafarnib (SARASAR). Phase: PHASE3. Study Status: TERMINATED. Enrollment: 702.0. Summary: The purpose of this study is to determine the overall survival of patients diagnosed with Stage 3b or 4 non-small cell lung cancer (NSCLC) treated with an oral Farnesyl Protein Transferase Inhibitor (Lonafarnib/SCH 66336) in combination with paclitaxel and carboplatin with that of patients treated with placebo in combination with paclitaxel and carboplatin.. ",NCT00050336,"Carcinoma, Non-small-cell Lung|Metastases, Neoplasm",PHASE3,TERMINATED,702.0,Merck Sharp & Dohme LLC,DRUG: Lonafarnib (SARASAR),2002,2004
NCT Number: NCT06333951. Study Title: AMG 193 Alone or in Combination With Other Therapies in Subjects With Advanced Thoracic Tumors With Homozygous MTAP-deletion (Master Protocol) (MTAPESTRY 104).. Sponsor: Amgen. Condition or Disease: Thoracic Tumors|Non-small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: AMG 193|DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: Pembrolizumab|DRUG: Pemetrexed|DRUG: Sotorasib. Phase: PHASE1. Study Status: RECRUITING. Enrollment: 500.0. Summary: The study aims to determine maximum tolerated dose (MTD) or recommended combination dose of the MTA-cooperative PRMT5 inhibitor AMG 193 administered in combination with other therapies in adult participants with metastatic or locally advanced methylthioadenosine phosphorylase (MTAP)-deleted thoracic tumors. The study also aims to determine the safety profile of AMG 193 administered in combination with other therapies in adult participants with metastatic or locally advanced MTAP-deleted thoracic tumors.. ,NCT06333951,Thoracic Tumors|Non-small Cell Lung Cancer,PHASE1,RECRUITING,500.0,Amgen,DRUG: AMG 193|DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: Pembrolizumab|DRUG: Pemetrexed|DRUG: Sotorasib,2024,2031
